ID,Noms
BartolomeoGenga,Bartolomée
BartolomeoManfredi,"BARTHOLOMEO MANFRED,Manfrede,Manfréde"
BartolomeoPassarotti,Bartolomeo Passarotti
BartolomeoSpani,Bartelemi de Regge
BartolomeoVivarini,Bartelemi Vivarino
BartolommeoRamenghi,"Bartholomæo d'a Bagna Cavallo,Bartolomée"
BasileFouquet,Monsieur l'Abbé
BasileValentin,Basille Valentin
Basiliscus,Basilicus
Bassano,"des Bassans,les Bassans,Bassani,Bassans,Bassan"
BastianoDaSangallo,"Aristote de saint Gal,Sebastien"
BastianoMainardi,Sebastien Mainard
BattistaDelMoro,"Batiste d'Angelo,Baptiste Delmoro,Batiste"
BattistaDossi,Baptiste
BattistaFranco,"Baptiste Franco,Batiste Franco,Batiste"
BattistaLorenzi,Batiste
BattistaRobusti,son pere
BavieroDeCarocci,"Le Baviere,Bavière,Baviere"
Belchim,Belchim
Belus,"Belus,Belo"
BenedettoCaliari,"BENOIST CALIARI,Frére Bénédetto,un Frére"
BenedettoCoda,Benoist Coda de Ferrare
BenedettoDaMaiano,"Benedetto da
                                Maiano,Benoît de Maiano,le Maiano,Benoît"
BenedettoDiada,Benoît Diada
BenedettoGhirlandaio,"Benoît Ghirlandaie,Benoist"
BenedettoPagni,Benoît
BenedettoVarchi,"Benedetto Varchi,Varchi"
BenoitIX,"Sa Sainteté,Benoist IX,Benoît IX.,le Pape"
BenoitXI,"Benoît XI,Benoît"
BenvenutoCellini,"Benvenuto
               Cellini,Benvenuto Cellini"
BernaertVanOrley,"Bernard Van-Orlay de,BERNARD VAN ORLAY,Bernard Van-Orlay"
BernardDupuyDeGrez,"Maître Bernard Dupuy du Grez,Me. BERNARD DUPUY DU GREZ"
BernardMedon,"BERNARDUS MEDONIUS,Mr."
BernardinoBaldini,"Bernardini Baldini,Baldino"
BernardinoButinone,"Buttinone,Butinone"
BernardinoCampi,"Bernardino da Campo,Bernardino Campi"
BernardinoFerrari,Bernardo Ferrari
