xml_id	personne_qid	type	lieu_qid
BernardinoLanino	Q2898897	naissance	Q40834
BernardinoLanino	Q2898897	décès	Q5990
FranciscusJunius	Q2951068	naissance	Q2966
FranciscusJunius	Q2951068	décès	Q464955
JacquesKerver	Q3159210	naissance	Q183
PaoloCamilloLandriani	Q3362607	naissance	Q39321
PaoloCamilloLandriani	Q3362607	décès	Q490
RaymondLafage	Q3420968	naissance	Q687797
RaymondLafage	Q3420968	décès	Q456
ChristineDeLalaing	Q6762644	naissance	Q494533
ChristineDeLalaing	Q6762644	décès	Q12892
MelchiorIKusel	Q6812010	naissance	Q2749
MelchiorIKusel	Q6812010	décès	Q2749
Lamech	Q10921342	naissance	Q11767
NicolasLanglois	Q29436209	naissance	Q90
NicolasLanglois	Q29436209	décès	Q90
AlessandroLamo	Q33137047	naissance	Q6231
AlessandroLamo	Q33137047	décès	Q6231
AntoninLePieux	Q1429	naissance	Q2832670
AntoninLePieux	Q1429	décès	Q1444690
Laocoon	Q22878	naissance	Q22647
Laocoon	Q22878	décès	Q22647
LeonVArmenien	Q41641	naissance	Q2981019
LeonVArmenien	Q41641	décès	Q16869
LeonI	Q43954	naissance	Q1273
LeonI	Q43954	décès	Q220
Lepide	Q105452	naissance	Q1747689
Lepide	Q105452	décès	Q11913906
LeonXI	Q132716	naissance	Q2044
LeonXI	Q132716	décès	Q220
FraFilippoLippi	Q205148	naissance	Q2044
FraFilippoLippi	Q205148	décès	Q20571
JeanLemaire	Q212445	naissance	Q250742
JeanLemaire	Q212445	décès	Q627220
PhilippeLeBon	Q239337	naissance	Q7003
PhilippeLeBon	Q239337	décès	Q12994
Lucullus	Q242819	naissance	Q1747689
Lucullus	Q242819	décès	2d06112eae978fdd9bc72bd153c97e27
Liutprand	Q251836	naissance	Q490
Liutprand	Q251836	décès	Q6259
CharlesLeBrun	Q271676	naissance	Q90
CharlesLeBrun	Q271676	décès	Q90
FilippinoLippi	Q296265	naissance	Q13377
FilippinoLippi	Q296265	décès	Q2044
LeonardoBruni	Q314488	naissance	Q13378
LeonardoBruni	Q314488	décès	Q2044
JoostLips	Q315871	naissance	Q599127
JoostLips	Q315871	décès	Q118958
LucasVanLeyden	Q320980	naissance	Q43631
LucasVanLeyden	Q320980	décès	Q43631
AntoineLePautre	Q345884	naissance	Q90
AntoineLePautre	Q345884	décès	Q90
PieterLastman	Q352864	naissance	Q727
PieterLastman	Q352864	décès	Q727
TommasoLaureti	Q357886	naissance	Q2656
TommasoLaureti	Q357886	décès	Q220
PierreLescot	Q381724	naissance	Q90
PierreLescot	Q381724	décès	Q90
CharesDeLindos	Q449057	naissance	Q65122097
CharesDeLindos	Q449057	décès	Q43048
LazareDeBethanie	Q539890	naissance	Q831190
JacquesLemercier	Q708858	naissance	Q201352
JacquesLemercier	Q708858	décès	Q90
LeoneLeoni	Q722092	naissance	Q13378
LeoneLeoni	Q722092	décès	Q490
LeoneLeoni	Q722092	naissance	Q47425
LeoneLeoni	Q722092	décès	Q490
PirroLigorio	Q736090	naissance	Q2634
PirroLigorio	Q736090	décès	Q13362
PierreLeMuet	Q951717	naissance	Q7003
PierreLeMuet	Q951717	décès	Q90
GiovanniPaoloLomazzo	Q982538	naissance	Q490
GiovanniPaoloLomazzo	Q982538	décès	Q490
LambertLombard	Q983189	naissance	Q3992
LambertLombard	Q983189	décès	Q3992
AlfonsoLombardi	Q1103494	naissance	Q13362
AlfonsoLombardi	Q1103494	décès	Q1891
JacopoLigozzi	Q1337128	naissance	Q2028
JacopoLigozzi	Q1337128	décès	Q2044
EustacheLeSueur	Q1378723	naissance	Q90
EustacheLeSueur	Q1378723	décès	Q90
HansSebaldLautensack	Q1392217	naissance	Q3936
HansSebaldLautensack	Q1392217	décès	Q1741
RobertdeLenoncourt	Q1475239	naissance	Q1137
RobertdeLenoncourt	Q1475239	décès	Q194337
PompeoLeoni	Q1858775	naissance	Q490
PompeoLeoni	Q1858775	décès	Q2807
GiulioLicinio	Q2013006	naissance	Q641
GiulioLicinio	Q2013006	décès	Q641
BernardinoLicinio	Q2629038	naissance	Q641
BernardinoLicinio	Q2629038	décès	Q641
CharlesLeCointe	Q2959599	naissance	Q5489
CharlesLeCointe	Q2959599	décès	Q90
ChristopheDeLestang	Q2966521	naissance	Q6393
ChristopheDeLestang	Q2966521	décès	Q6582
FrancoisLeVau	Q3085130	naissance	Q90
FrancoisLeVau	Q3085130	décès	Q90
HoraceLeBlanc	Q3140456	naissance	Q456
HoraceLeBlanc	Q3140456	décès	Q456
NicolasLoir	Q3340535	naissance	Q90
NicolasLoir	Q3340535	décès	Q90
PierreLeMoyne	Q3385867	naissance	Q193880
PierreLeMoyne	Q3385867	décès	Q90
HenriLerambert	Q15709386	naissance	Q90
HenriLerambert	Q15709386	décès	Q90
RemeeVanLeemput	Q18526282	naissance	Q12892
RemeeVanLeemput	Q18526282	décès	Q84
CristoforoLombardo	Q60040609	décès	Q490
LouisIX	Q346	naissance	Q457
LouisIX	Q346	décès	Q3572
LouisXIV	Q7742	naissance	Q1520841
LouisXIV	Q7742	décès	Q2946
LouisXI	Q8058	naissance	Q132404
LouisXI	Q8058	décès	Q638089
Soliman	Q8474	naissance	Q45301
Soliman	Q8474	décès	Q373542
BernardinoLuini	Q8537	naissance	Q41052
BernardinoLuini	Q8537	décès	Q490
BernardinoLuini	Q8537	naissance	Q41052
BernardinoLuini	Q8537	décès	Q7024
Mahomet	Q9458	naissance	Q5806
Mahomet	Q9458	décès	Q35484
LeonIIIIsaurien	Q31755	naissance	Q134703
LeonIIIIsaurien	Q31755	décès	Q16869
LeonIVKhazar	Q41645	naissance	Q16869
IgnaceDeLoyola	Q44281	naissance	Q137795320
IgnaceDeLoyola	Q44281	décès	Q128514443
SaintGeorges	Q48438	naissance	Q48338
SaintGeorges	Q48438	décès	Q207540
SaintGeorges	Q48438	naissance	Q48338
SaintGeorges	Q48438	décès	Q209349
LouisXII	Q58514	naissance	Q4055
LouisXII	Q58514	décès	Q1476769
MarieMadeleine	Q63070	naissance	Q4880851
MarieMadeleine	Q63070	décès	Q47611
CarloMaderno	Q122328	naissance	Q58940
CarloMaderno	Q122328	décès	Q220
Lea	Q128847	naissance	Q1257454
Lea	Q128847	décès	Q163329
PhilippeIIMacedoine	Q130650	naissance	3de64adbf34fa8ad6b2e67047f54feae
PhilippeIIMacedoine	Q130650	décès	Q16963755
Lysandre	Q143559	naissance	Q5690
Lysandre	Q143559	décès	Q359627
Apulee	Q170512	naissance	Q11936307
Apulee	Q170512	décès	Q23670612
Lycurgue	Q211326	naissance	Q5690
Lycurgue	Q211326	décès	Q56754242
AmbrogioLorenzetti	Q211562	naissance	Q2751
AmbrogioLorenzetti	Q211562	décès	Q2751
Levi	Q215512	naissance	Q1257454
LeonIV	Q228205	naissance	Q220
