xml_id,wikidata_id,ulan_id,artist_label,birth_place,country
PellegrinoAretusi,Q2698667,500032007,Pellegrino Aretusi,Modena,Italy
MargaritoArezzo,Q2518566,500025562,Margaritone d'Arezzo,Arezzo,Italy
LudovicoAriosto,Q48900,500313522,Ludovico Ariosto,Reggio Emilia,Italy
GiovanniBattistiArmenini,Q5563697,500091976,Giovanni Battista Armenini,Faenza,Italy
Guariento,Q1391765,500115816,Guariento di Arpo,Piove di Sacco,Italy
TizianoAspetti,Q323978,500030358,Tiziano Aspetti,Padua,Italy
JacopoAvanzi,Q579717,500010822,Jacopo d'Avanzi,Bologna,Italy
NicolasBachelier,Q713209,500003044,Nicolas Bachelier,Arras,France
SistoBadalocchio,Q729057,500003253,Sisto Badalocchio,Parma,Italy
AntonioBadile,Q941609,500001625,Antonio Badile,Verona,Italy
GiovanniBaglione,Q983332,500012161,Giovanni Baglione,Rome,Italy
BaccioBaldini,Q324091,500016603,Baccio Baldini,Florence,Italy
AlessoBaldovinetti,Q472073,500115745,Alesso Baldovinetti,Florence,Italy
BaccioBandinelli,Q358348,500008366,Baccio Bandinelli,Florence,Italy
GiovanniBandini,Q3766522,500013093,Giovanni Bandini,Florence,Italy
DanieleBarbaro,Q378870,500128024,Daniele Barbaro,Venice,Italy
DomenicoDelBarbiere,Q1411009,500028410,Domenico del Barbiere,Florence,Italy
Guerchin,Q334262,500021925,Guercino,Cento,Italy
DirckBarendsz,Q2183916,500008127,Dirck Barendsz.,Amsterdam,Netherlands
JacopoBarozziDaVignola,Q297565,500024808,Giacomo Barozzi da Vignola,Vignola,Italy
CosimoBartoli,Q1136048,500237415,Cosimo Bartoli,Florence,Italy
TaddeoDiBartolo,Q740231,500029513,Taddeo di Bartolo,Siena,Italy
FraBartolomeo,Q7780,500115575,Fra Bartolomeo,Prato,Italy
DomenicoVeneziano,Q368546,500030200,Domenico Veneziano,Venice,Italy
MarcoBasaiti,Q918859,500081478,Marco Basaiti,Venice,Italy
FrancescoBassanoIlVecchio,Q3080906,500008583,Francesco da Ponte,Vicenza,Italy
FrancescoBassano,Q705079,500003680,Francesco Bassano the Younger,Bassano del Grappa,Italy
GerolamoBassano,Q286685,500014228,Girolamo da Ponte,Bassano del Grappa,Italy
GiovanniBattistaBassano,Q3107030,500025217,Giovanni Battista da Ponte,Bassano del Grappa,Italy
JacopoBassano,Q346502,500003126,Jacopo Bassano,Bassano del Grappa,Italy
LeandroBassano,Q1349666,500015945,Leandro Bassano,Bassano del Grappa,Italy
MartinoBassi,Q3850232,500070600,Martino Bassi,Seregno,Italy
JeromeBaullery,Q3190805,500027625,Jérôme Baullery,Paris,France
JohannWilhelmBaur,Q324487,500020628,Johann Wilhelm Baur,Strasbourg,France
Sodoma,Q8506,500015183,Il Sodoma,Vercelli,Italy
CharlesBeaubrun,Q5075493,500000568,Charles Beaubrun,Amboise,France
HenriBeaubrun,Q21452901,500030190,Henri Beaubrun the younger,Amboise,France
LouisBeaubrun,Q57243958,500049642,Louis Beaubrun,Amboise,France
DomenicoBeccafumi,Q455712,500012009,Domenico Beccafumi,Castelnuovo Berardenga,Italy
JacquesBellange,Q874658,500001347,Jacques Bellange,Bassigny,France
BartolomeoBellano,Q809488,500027089,Bartolomeo Bellano,Padua,Italy
JehanBellegambe,Q932136,500023570,Jehan Bellegambe,Douai,France
GentileBellini,Q290407,500026083,Gentile Bellini,Venice,Italy
GiovanniBellini,Q17169,500019244,Giovanni Bellini,Venice,Italy
JacopoBellini,Q313310,500115627,Jacopo Bellini,Venice,Italy
GiovanniPietroBellori,Q714400,500016332,Giovanni Pietro Bellori,Rome,Italy
PietroBembo,Q334188,500314171,Pietro Bembo,Venice,Italy
Bernin,Q160538,500032022,Gian Lorenzo Bernini,Naples,Italy
GiovanBattistaBertani,Q3766052,500005410,Giovanni Battista Bertani,Mantua,Italy
JacopoBertoia,Q1643157,500115600,Jacopo Bertoia,Parma,Italy
LorenzoDiBicci,Q856749,500002727,Bicci di Lorenzo,Florence,Italy
Franciabigio,Q537712,500115536,Franciabigio,Florence,Italy
JacquesBlanchard,Q385845,500021775,Jacques Blanchard,Paris,France
AbrahamBloemaert,Q329811,500007342,Abraham Bloemaert,Gorinchem,Netherlands
CornelisIIBloemaert,Q518767,500001977,Cornelis Bloemaert,Utrecht,Netherlands
LancelotBlondeel,Q2125116,500014638,Lancelot Blondeel,Poperinge,Belgium
FrancoisBlondel,Q600701,500015830,François Blondel,Ribemont,France
BoccaccioBoccaccino,Q721349,500012359,Boccaccio Boccaccino,Ferrara,Italy
CamilloBoccaccino,Q1029340,500018099,Camillo Boccaccino,Cremona,Italy
FerdinandBol,Q374039,500013764,Ferdinand Bol,Dordrecht,Netherlands
HansBol,Q999233,500032961,Hans Bol,Mechelen,Belgium
NicolasBollery,Q3340069,500020123,Nicolas Baullery,Paris,France
VitaleDaBologna,Q2575398,500021245,Vitale da Bologna,Bologna,Italy
Giambologna,Q220136,500016387,Giambologna,Douai,France
SchelteBolswert,Q2288622,500005257,Schelte a Bolswert,Bolsward,Netherlands
GiovanniAntonioBoltraffio,Q442528,500115585,Giovanni Antonio Boltraffio,Milan,Italy
GiulioBonasone,Q1527962,500004569,Giulio Bonasone,Bologna,Italy
FrancescoBonsignori,Q2524101,500031337,Francesco Bonsignori,Verona,Italy
AlessandroBonvicino,Q954504,500007609,Moretto da Brescia,Brescia,Italy
ParisBordone,Q366081,500018343,Paris Bordone,Treviso,Italy
HieronimusBosch,Q130531,500000759,Hieronymus Bosch,Bois-le-Duc,Netherlands
FrancescoBoschi,Q3080919,500008928,Francesco Boschi,Florence,Italy
AndreaBoscoli,Q1056313,500023953,Andrea Boscoli,Florence,Italy
AbrahamBosse,Q326215,500031187,Abraham Bosse,Tours,France
AndriesBoth,Q510472,500026342,Andries Both,Utrecht,Netherlands
JanBoth,Q981631,500032845,Jan Both,Utrecht,Netherlands
SandroBotticelli,Q5669,500015254,Sandro Botticelli,Florence,Italy
PierreBoucle,Q10349690,500007094,Peter van Boucle,Antwerp,Belgium
HennequinDeBruges,Q1370613,500121790,Jan Boudolf,Bruges,Belgium
Valentin,Q1337275,500021073,Valentin de Boulogne,Coulommiers,France
SebastienBourdon,Q553795,500006900,Sébastien Bourdon,Montpellier,France
ClaudineBouzonnetStella,Q5129302,500018274,Claudine Bouzonnet-Stella,Lyon,France
FriedrichIBrentel,Q5503769,500003074,Friedrich Brentel,Lauingen,Germany
PaulBril,Q540753,500005652,Paul Bril,Antwerp,Belgium
AgnoloBronzino,Q7803,500004362,Bronzino,Florence,Italy
SalomonDeBrosse,Q725816,500118650,Salomon de Brosse,Verneuil-en-Halatte,France
AdriaenBrouwer,Q364139,500012394,Adriaen Brouwer,Oudenaarde,Belgium
LiberalBruand,Q3090458,500001472,Libéral Bruant,Paris,France
JanBrueghel,Q209050,500007095,Jan Brueghel the Elder,Brussels,Belgium
PieterBrueghelDeOude,Q43270,500013247,Pieter Brueghel the Elder,Breda,Netherlands
Brunelleschi,Q174330,500018169,Filippo Brunelleschi,Florence,Italy
DomenicoBrusasorzi,Q2297219,500020187,Domenico Riccio,Verona,Italy
BuonamicoBuffalmacco,Q972487,500024351,Buonamico Buffalmacco,Florence,Italy
GiulianoBugiardini,Q2578459,500011070,Giuliano Bugiardini,Florence,Italy
JeanBullant,Q967445,500032909,Jean Bullant,Amiens,France
FrancoisBunel,Q5493203,500025015,François Bunel the Younger,Blois,France
JacobBunel,Q6118432,500019142,Jacob Bunel,Blois,France
PietroBuonaccorsi,Q918778,500000030,Perino del Vaga,Florence,Italy
MichelAnge,Q5592,500010654,Michelangelo,Caprese Michelangelo,Italy
GiovanniBuonconsiglio,Q5563793,500031591,Giovanni Buonconsiglio,Montecchio Maggiore,Italy
Duccio,Q15792,500029165,Duccio di Buoninsegna,Siena,Italy
AgostinoBusti,Q395600,500015698,Agostino Busti,Busto Arsizio,Italy
BernardinoButinone,Q2622155,500020947,Bernardino Butinone,Treviglio,Italy
NicolasBeatrizet,Q461143,500013977,Nicolas Beatrizet,Thionville,France
JanStevenVanCalcar,Q1397369,500026055,Jan van Calcar,Kalkar,Germany
BenedettoCaliari,Q2054338,500000324,Benedetto Caliari,Verona,Italy
CarloCaliari,Q2939168,500018546,Carlo Caliari,Venice,Italy
GabrieleCaliari,Q5515997,500008508,Gabriele Caliari,Venice,Italy
JacquesCallot,Q460124,500021688,Jacques Callot,Nancy,France
DenysCalvaert,Q544264,500020043,Denys Calvaert,Antwerp,Belgium
LazzaroCalvi,Q3220074,500049448,Lazzaro Calvi,Genoa,Italy
AndreaCamassei,Q3615565,500022871,Andrea Camassei,Bevagna,Italy
LucaCambiaso,Q712512,500115500,Luca Cambiaso,Moneglia,Italy
GirolamoCampagnola,Q27501610,500331864,Girolamo Campagnola,Padua,Italy
GiulioCampagnola,Q1989594,500115435,Giulio Campagnola,Padua,Italy
AntonioCampi,Q601175,500031485,Antonio Campi,Cremona,Italy
BernardinoCampi,Q822891,500000160,Bernardino Campi,Cremona,Italy
GaleazzoCampi,Q707600,500005128,Galeazzo Campi,Cremona,Italy
GiulioCampi,Q1528003,500002728,Giulio Campi,Cremona,Italy
VincenzoCampi,Q921130,500002729,Vincenzo Campi,Cremona,Italy
PeterCandid,Q315803,500030273,Peter Candid,Bruges,Belgium
LorenzoCanozi,Q3836903,500031006,Lorenzo Canozzi,Lendinara,Italy
FrancescoCapriani,Q748699,500018122,Francesco Capriani,Volterra,Italy
GiovanniJacopoCaraglio,Q705640,500025904,Giovanni Jacopo Caraglio,Verona,Italy
Caravage,Q42207,500115312,Caravaggio,Milan,Italy
PolidoroDaCaravaggio,Q964822,500032941,Polidoro da Caravaggio,Caravaggio,Italy
GiovanFrancescoCaroto,Q966586,500010796,Giovanni Francesco Caroto,Verona,Italy
VittoreCarpaccio,Q5581,500015121,Vittore Carpaccio,Venice,Italy
UgoDaCarpi,Q1967967,500013568,Ugo da Carpi,Q100041,Italy
AgostinoCarracci,Q316269,500115349,Agostino Carracci,Bologna,Italy
AnnibaleCarracci,Q7824,500115350,Annibale Carracci,Bologna,Italy
AntonioCarracci,Q2624075,500028011,Antonio Marziale Carracci,Venice,Italy
LodovicoCarracci,Q380553,500009619,Ludovico Carracci,Bologna,Italy
JacopoDiCasentino,Q2723390,500003559,Jacopo del Casentino,Florence,Italy
AlessandroCasolani,Q461700,500031454,Alessandro Casolani,Mensano,Italy
AndreaDelCastagno,Q240737,500004603,Andrea del Castagno,San Godenzo,Italy
BernardoCastello,Q2345205,500005056,Bernardo Castello,Genoa,Italy
GiovanniBattistaCastello,Q723221,500032810,Giovanni Battista Castello,Gandino,Italy
BaldassareCastiglione,Q211133,500204778,Baldassarre Castiglione,Casatico,Italy
GiovanniBenedettoCastiglione,Q40823,500115299,Giovanni Benedetto Castiglione,Genoa,Italy
PietroCataneo,Q970999,500128514,Pietro di Giacomo Cataneo,Siena,Italy
DaneseCattaneo,Q1080223,500029294,Danese Cattaneo,Colonnata,Italy
GiovanniBattistaDeCavalieri,Q5563765,500022492,Giovanni Battista de'Cavalieri,Villa Lagarina,Italy
PietroCavallini,Q316009,500031569,Pietro Cavallini,Rome,Italy
GiacomoCavedone,Q2704031,500010514,Giacomo Cavedone,Sassuolo,Italy
BenvenutoCellini,Q190116,500115352,Benvenuto Cellini,Florence,Italy
GiuseppeCesari,Q933026,500115051,Giuseppe Cesari,Arpino,Italy
CesareCesariano,Q935752,500016613,Cesare Cesariano,Milan,Italy
AlonsoChacon,Q661419,500315680,Alphonsus Ciacconius,Baeza,Spain
JeanChalette,Q3171196,500032556,Jean Chalette,Troyes,France
JeanBaptisteDeChampaigne,Q3164509,500032942,Jean Baptiste de Champaigne,Brussels,Belgium
PhilippeDeChampaigne,Q314814,500115355,Philippe de Champaigne,Brussels,Belgium
NicolasChaperon,Q2476960,500121166,Nicolas Chaperon,Châteaudun,France
CimaDaConegliano,Q8453,500012627,Giovanni Battista Cima da Conegliano,Conegliano,Italy
Cimabue,Q15790,500016284,Cimabue,Florence,Italy
BartolomeoCincani,Q809507,500029837,Bartolomeo Montagna,Orzinuovi,Italy
ValerioDiSimoneCioli,Q2257363,500008742,Valerio Cioli,Florence,Italy
Orcagna,Q366499,500119427,Orcagna,Florence,Italy
NiccoloCircignani,Q382762,500020906,Niccolò Circignani,Pomarance,Italy
VincenzoCiverchio,Q3559930,500030679,Vincenzo Civerchio,Crema,Italy
MatteoDiGiovanniCivitali,Q1909372,500029210,Matteo Civitali,Lucca,Italy
GiovanniBattistaClarici,Q24887950,500082931,Giovanni Battista Clarici,Urbino,Italy
JoosVanCleve,Q153472,500007799,Joos van Cleve,Kleve,Germany
GiulioClovio,Q281219,500022657,Giulio Clovio,Grižane-Belgrad,Croatia
HieronymusCock,Q640361,500005618,Hieronymus Cock,Antwerp,Belgium
BenedettoCoda,Q327706,500020768,Benedetto Coda,Treviso,Italy
PieterCoeckeVanAelst,Q434006,500115332,Pieter Coecke van Aelst,Aalst,Belgium
AdriaenCollaert,Q2825010,500021205,Adriaen Collaert,Antwerp,Belgium
RaffaellinoDelColle,Q1323835,500021279,Raffaellino del Colle,Sansepolcro,Italy
AntonioDaSangalloIlGiovane,Q357276,500017734,Antonio da Sangallo the Younger,Florence,Italy
AlviseCornaro,Q389140,500086008,Luigi Cornaro,Venice,Italy
MichelCorneille,Q2613210,500007499,Michel Corneille the Elder,Orléans,France
PierreCorneille,Q747,500353775,Pierre Corneille,Rouen,France
CornelisVanHaarlem,Q442484,500020887,Cornelis van Haarlem,Haarlem,Netherlands
LucasCornelisz,Q6696121,500010177,Lucas Cornelisz de Kock,Leiden,Netherlands
CornelisCort,Q167220,500011556,Cornelis Cort,Hoorn,Netherlands
PierreDeCortone,Q333323,500115154,Pietro da Cortona,Cortona,Italy
PieroDiCosimo,Q280851,500007508,Piero di Cosimo,Florence,Italy
SilvioCosini,Q3960853,500028818,Silvio Cosini,Fiesole,Italy
LorenzoCosta,Q357807,500115131,Lorenzo Costa,Ferrara,Italy
JeanICotelle,Q51463250,500008518,Jean Cotelle,Meaux,France
JeanCousin,Q2610648,500115218,Jean Cousin,Sens,France
MichelICoxie,Q937645,500003940,Michiel Coxie,Mechelen,Belgium
SimoneDeiCrocifissi,Q3484633,500000136,Simone dei Crocifissi,Bologna,Italy
BattistaDelMoro,Q2891762,500015168,Battista d'Agnolo,Verona,Italy
MarcoDOggiono,Q982274,500019724,Marco d'Oggiono,Oggiono,Italy
MichelinoDaBesozzo,Q2517498,500030388,Michelino Molinari da Besozzo,Besozzo,Italy
LippoDalmasio,Q2009694,500003024,Lippo di Dalmasio,Bologna,Italy
PellegrinoDaSanDaniele,Q732082,500007834,Pellegrino da San Daniele,Udine,Italy
JeanDaret,Q3171555,500004784,Jean Daret,Brussels,Belgium
CarloDati,Q3659787,500316518,Carlo Roberto Dati,Florence,Italy
CornelisVanHeem,Q1133621,500018142,Cornelis de Heem,Leiden,Netherlands
JuanDeHerreraDeMaliano,Q363914,500116393,Juan de Herrera,Roiz,Spain
EtienneDelaune,Q2114093,500026480,Étienne Delaune,Paris,France
WillemJacobszDelff,Q807808,500012148,Willem Jacobsz Delff,Delft,Netherlands
StefanoDellaBella,Q921242,500018966,Stefano della Bella,Florence,Italy
MarcoDente,Q712750,500023820,Marco Dente,Ravenna,Italy
ClaudeDeruet,Q355563,500005182,Claude Deruet,Nancy,France
GirardDesargues,Q152817,500106146,Gérard Desargues,Lyon,France
Bramante,Q7793,500019098,Donato Bramante,Fermignano,Italy
ArnolfoDiLapo,Q315249,500020772,Arnolfo di Cambio,Colle di Val d'Elsa,Italy
BenedettoDiada,Q3638104,500027147,Benedetto Rusconi,Venice,Italy
AbrahamJanszVanDiepenbeeck,Q330854,500024425,Abraham van Diepenbeeck,Bois-le-Duc,Netherlands
Dominiquin,Q320118,500018832,Domenichino,Bologna,Italy
Donatello,Q37562,500026022,Donatello,Florence,Italy
Mastelletta,Q547109,500024427,Giovanni Andrea Donducci,Bologna,Italy
CharlesDorigny,Q2958932,500048321,Charles Dorigny,La Rochelle,France
MichelDorigny,Q3309511,500032412,Q3309511,Saint-Quentin,France
BattistaDossi,Q2706669,500020071,Battista Dossi,San Giovanni del Dosso,Italy
DossoDossi,Q356777,500114963,Dosso Dossi,Mirandola,Italy
GerritDou,Q335927,500115513,Gerrit Dou,Leiden,Netherlands
FrancoisDuQuesnoy,Q960381,500115495,François Duquesnoy,Brussels,Belgium
AmbroiseDubois,Q2415583,500004063,Ambroise Dubois,Antwerp,Belgium
ToussaintDubreuil,Q386127,500009728,Toussaint Dubreuil,Paris,France
JacquesDubroeucq,Q3087528,500006447,Jacques du Broeucq,Mons,Belgium
GaspardDughet,Q741375,500115515,Gaspard Dughet,Rome,Italy
KarelDujardin,Q719666,500000918,Karel Dujardin,Amsterdam,Netherlands
GuillaumeDumee,Q16640510,500012724,Guillaume Dumée,Fontainebleau,France
EtienneDuperac,Q289626,500000071,Étienne Dupérac,Paris,France
AntoineDurand,Q105112330,500024231,Antoine Durand,Toulouse,France
VanDyck,Q150679,500115190,Anthony van Dyck,Antwerp,Belgium
AlbrechtDurer,Q5580,500115493,Albrecht Dürer,Nuremberg,Germany
AlbrechtDurerElder,Q535910,500102378,Albrecht Dürer the Elder,Gyula,Hungary
JustusVanEgmont,Q1034140,500008490,Justus van Egmont,Leiden,Netherlands
FerdinandElle,Q3068556,500028971,Ferdinand Elle,Mechelen,Belgium
AdamElsheimer,Q310285,500115443,Adam Elsheimer,Frankfurt,Germany
MarioEquicola,Q3848545,500317328,Mario Equicola,Alvito,Italy
CharlesErrard,Q706960,500031765,Charles Errard,Nantes,France
JeanErrard,Q1387082,500098043,Jean Errard,Bar-le-Duc,France
VanEyck,Q102272,500116209,Jan van Eyck,Maaseik,Belgium
GentileDaFabriano,Q312393,500017803,Gentile da Fabriano,Fabriano,Italy
PietroFacchetti,Q3388115,500005711,Pietro Facchetti,Mantua,Italy
Filarete,Q449961,500031755,Filarete,Florence,Italy
GiacomoFantoni,Q6119969,500065214,Jacopo Colonna,Venice,Italy
PaoloFarinati,Q367287,500013893,Paolo Farinati,Verona,Italy
JeanBaptisteDeFaudran,Q50278363,500138104,Jean-Baptiste de Faudran,Lambesc,France
AndreaFeltrini,Q2846439,500006046,Andrea di Cosimo,Florence,Italy
Gaudenzio,Q734108,500000975,Gaudenzio Ferrari,Valduggia,Italy
FrancescoFerrucci,Q3750862,500022127,Francesco del Tadda,Fiesole,Italy
MinoDaFiesole,Q477441,500002074,Mino da Fiesole,Poppi,Italy
AmbrogioFigino,Q1525712,500004659,Giovanni Ambrogio Figino,Milan,Italy
MasoFiniguerra,Q630165,500115289,Maso Finiguerra,Florence,Italy
JacobelloDelFiore,Q2634352,500032918,Jacobello del Fiore,Venice,Italy
StefanoFiorentino,Q1093544,500007537,Stefano Fiorentino,Florence,Italy
MaturinoFiorentino,Q2606874,500003257,Maturino da Firenze,Florence,Italy
Baroccio,Q316731,500115210,Federico Barocci,Urbino,Italy
FlaminioVacca,Q527235,500128268,Flaminio Vacca,Rome,Italy
FransFlorisI,Q543948,500115614,Frans Floris I,Antwerp,Belgium
AnnibaleFontana,Q3618059,500002512,Annibale Fontana,Milan,Italy
DomenicoFontana,Q336806,500022415,Domenico Fontana,Melide,Switzerland
LaviniaFontana,Q236050,500012612,Lavinia Fontana,Bologna,Italy
ProsperoFontana,Q460751,500115593,Prospero Fontana,Bologna,Italy
Caradosso,Q744092,500015997,Cristoforo Foppa,Olgiate Molgora,Italy
VincenzoFoppa,Q222923,500010957,Vincenzo Foppa,Brescia,Italy
JacquesFouquieres,Q327364,500115143,Jacques Fouquier,Antwerp,Belgium
PieroDellaFrancesca,Q5822,500006339,Piero della Francesca,Sansepolcro,Italy
FrancescoFrancia,Q260057,500115527,Francesco Francia,Bologna,Italy
BattistaFranco,Q976786,500029646,Battista Franco Veneziano,Venice,Italy
ClaudeFrancois,Q2977396,500029570,Claude François,Amiens,France
FrancoisDerand,Q3084427,500185870,François Derand,Vic-sur-Seille,France
SimonFrancois,Q7518780,500014329,Simon François de Tours,Tours,France
MartinFreminet,Q347902,500032294,Martin Fréminet,Paris,France
RolandFreartDeChambray,Q2739285,500261198,Roland Fréart de Chambray,Le Mans,France
PaulFreartDeChantelou,Q3371258,500340761,Paul Fréart de Chantelou,Le Mans,France
AmbroiseFredeau,Q18042167,500029392,Ambroise Fredeau,Paris,France
AndreFelibien,Q518705,500100452,André Félibien,Chartres,France
AgnoloGaddi,Q363296,500021601,Agnolo Gaddi,Florence,Italy
GaddoGaddi,Q729041,500001790,Gaddo Gaddi,Florence,Italy
TaddeoGaddi,Q315835,500115669,Taddeo Gaddi,Florence,Italy
FedeGalizia,Q2428749,500013207,Fede Galizia,Milan,Italy
CornelisGalleI,Q869133,500020542,Cornelis Galle the Elder,Antwerp,Belgium
PhilipGalle,Q1379395,500016136,Philip Galle,Haarlem,Netherlands
Garofalo,Q728512,500011286,Benvenuto Tisi,Ferrara,Italy
LucasGassel,Q1873074,500032920,Lucas Gassel,Helmond,Netherlands
BernardinoGatti,Q822909,500032192,Bernardino Gatti,Pavia,Italy
PomponioGaurico,Q205847,500318203,Pomponius Gauricus,Giffoni Valle Piana,Italy
GeorgGeldorp,Q1504435,500050515,George Geldorp,Cologne,Germany
ClaudeLorrain,Q214074,500115366,Claude Lorrain,Chamagne,France
BartolomeoGenga,Q601390,500076127,Bartolommeo Genga,Cesena,Italy
GirolamoGenga,Q920115,500005411,Girolamo Genga,Urbino,Italy
ArtemisiaGentileschi,Q212657,500011658,Artemisia Gentileschi,Rome,Italy
AntonioDaFaenza,Q21282288,500005061,Antonio Gentili,Faenza,Italy
BalthazarGerbier,Q2462938,500018359,Balthazar Gerbier,Middelburg,Netherlands
ConradGessner,Q55191839,500001070,Conrad Gessner,Zurich,Switzerland
ConsiglioGherardi,Q1660326,500028901,Cristoforo Gherardi,Sansepolcro,Italy
LorenzoGhiberti,Q208125,500006531,Lorenzo Ghiberti,Florence,Italy
BenedettoGhirlandaio,Q2554861,500002785,Benedetto Ghirlandaio,Florence,Italy
DavideGhirlandaio,Q1145811,500021575,Davide Ghirlandaio,Florence,Italy
DomenicoGhirlandaio,Q191423,500115228,Domenico Ghirlandaio,Florence,Italy
RidolfoDelGhirlandaio,Q64881,500002132,Ridolfo del Ghirlandaio,Florence,Italy
GiorgioGhisi,Q1010603,500005693,Giorgio Ghisi,Mantua,Italy
GianelloTorriani,Q1388187,500091063,Juanelo Turriano,Cremona,Italy
GiovanniGiocondo,Q336806,500022415,Domenico Fontana,Melide,Switzerland
Giorgione,Q8459,500028290,Giorgione,Castelfranco Veneto,Italy
Giotto,Q7814,500010766,Giotto,Vicchio,Italy
AgostinoDiGiovanni,Q395759,500045995,Agostino da Siena,Siena,Italy
BertoldoDiGiovanni,Q828363,500030097,Bertoldo di Giovanni,Florence,Italy
DarioDiGiovanni,Q3702686,500032960,Dario di Giovanni,Pordenone,Italy
GiovanniMariaFalconetto,Q1071025,500027343,Giovanni Maria Falconetto,Verona,Italy
GirolamoMacchietti,Q350028,500007200,Girolamo Macchietti,Florence,Italy
DanielGittard,Q3014096,500065820,Daniel Gittard,Blandy,France
HendrickGoltzius,Q165367,500023327,Hendrik Goltzius,Bracht,Germany
HubertusGoltzius,Q1866375,500009741,Hubert Goltzius,Venlo,Netherlands
JanGossaert,Q346952,500009353,Jan Gossaert,Maubeuge,France
HendrickGoudt,Q2101519,500115705,Hendrick Goudt,The Hague,Netherlands
JeanGoujon,Q551643,500004245,Jean Goujon,Rouen,France
AntivedutoGramatica,Q2565172,500015547,Antiveduto Grammatica,Rome,Italy
MatthausGreuter,Q3299661,500005629,Matthäus Greuter,Strasbourg,France
MatthiasGrunewald,Q154338,500021832,Matthias Grünewald,Würzburg,Germany
RaffaelloGuidi,Q134451263,500044332,Q134451263,Florence,Italy
GuidoReni,Q109061,500030334,Guido Reni,Bologna,Italy
PaoloGuidotti,Q3894144,500020469,Paolo Guidotti,Lucca,Italy
FrancoisGuy,Q3121786,500018797,Guy François,Le Puy-en-Velay,France
AdriaenHanneman,Q864279,500005407,Adriaen Hanneman,The Hague,Netherlands
JulesHardouinMansart,Q8053,500029668,Jules Hardouin-Mansart,Paris,France
MaertenVanHeemskerck,Q538350,500124291,Maarten van Heemskerck,Heemskerk,Netherlands
JosephHeintz,Q535474,500004495,Joseph Heintz the Elder,Basel,Switzerland
JanSandersVanHemessen,Q427870,500004571,Jan Sanders van Hemessen,Hemiksem,Belgium
JanVanDenHoecke,Q1349676,500019616,Jan van den Hoecke,Antwerp,Belgium
JacobHoefnagel,Q1389562,500011170,Jacob Hoefnagel,Antwerp,Belgium
HansHolbeinDeElder,Q49987,500001791,Hans Holbein the Elder,Augsburg,Germany
HansHolbeinDeJonge,Q48319,500005259,Hans Holbein the Younger,Augsburg,Germany
GerritVanHonthorst,Q314548,500051681,Gerard van Honthorst,Utrecht,Netherlands
InnocenzoFrancucci,Q1350937,500017772,Innocenzo di Pietro Francucci da Imola,Imola,Italy
AbrahamJanssens,Q330139,500033089,Abraham Janssens I,Antwerp,Belgium
PieterDeJodeI,Q724760,500015194,Pieter de Jode I,Antwerp,Belgium
JacobJordaens,Q270658,500012431,Jacob Jordaens,Antwerp,Belgium
FranciscusJunius,Q2951068,500320299,Franciscus Junius,Heidelberg,Germany
WillemKey,Q1827660,500003523,Willem Key,Breda,Netherlands
MelchiorIKusel,Q6812010,500083170,Melchior Küsel,Augsburg,Germany
PhilibertDelorme,Q440053,500002516,Philibert de l'Orme,Lyon,France
LaurentDeLaHyre,Q59894,500004322,Laurent de La Hyre,Paris,France
