xml_id,birth_place,region1,region2,region,country,country_qid,region_qid,latitude,longitude
GiovanniPietroBellori,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282,41.9,12.716666666
PietroBembo,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
Bernin,Naples,ville métropolitaine de Naples,Campanie,Campanie,Italie,Q38,Q1438,40.910555555,14.920555555
GiovanBattistaBertani,Mantoue,Mantoue,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
JacopoBertoia,Parme,Parme,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
LorenzoDiBicci,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
Franciabigio,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
JacquesBlanchard,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142,47.0,2.0
AbrahamBloemaert,Gorinchem,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
CornelisIIBloemaert,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
LancelotBlondeel,Poperinge,arrondissement administratif d'Ypres,Flandre-Occidentale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
FrancoisBlondel,Ribemont,Aisne,Hauts-de-France,France,France,Q142,Q142,47.0,2.0
BoccaccioBoccaccino,Ferrare,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
CamilloBoccaccino,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
FerdinandBol,Dordrecht,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
HansBol,Malines,arrondissement administratif de Malines,province d'Anvers,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
NicolasBollery,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142,47.0,2.0
VitaleDaBologna,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
Giambologna,Douai,arrondissement de Douai,Nord,France,France,Q142,Q142,47.0,2.0
SchelteBolswert,Bolsward,Frise,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
GiovanniAntonioBoltraffio,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
GiulioBonasone,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
FrancescoBonsignori,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
AlessandroBonvicino,Brescia,Brescia,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
ParisBordone,Trévise,Trévise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
HieronimusBosch,Bois-le-Duc,Bois-le-Duc,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
FrancescoBoschi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AndreaBoscoli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AbrahamBosse,Tours,Indre-et-Loire,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
AndriesBoth,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
JanBoth,Utrecht,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
SandroBotticelli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
PierreBoucle,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
HennequinDeBruges,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
Valentin,Coulommiers,Seine-et-Marne,Île-de-France,France,France,Q142,Q142,47.0,2.0
SebastienBourdon,Montpellier,Hérault,Occitanie,France,France,Q142,Q142,47.0,2.0
ClaudineBouzonnetStella,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,France,Q142,Q142,47.0,2.0
FriedrichIBrentel,Lauingen,Landkreis Dillingen an der Donau,Souabe,Allemagne,Allemagne,Q183,Q183,51.0,10.0
PaulBril,Bréda,Bréda,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
AgnoloBronzino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
SalomonDeBrosse,Verneuil-en-Halatte,Oise,Hauts-de-France,France,France,Q142,Q142,47.0,2.0
AdriaenBrouwer,Audenarde,arrondissement administratif d'Audenarde,Flandre-Orientale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
LiberalBruand,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142,47.0,2.0
JanBrueghel,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
PieterBrueghelDeOude,Bréda,Bréda,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
Brunelleschi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
DomenicoBrusasorzi,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
BuonamicoBuffalmacco,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiulianoBugiardini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
JeanBullant,Amiens,Somme,Hauts-de-France,France,France,Q142,Q142,47.0,2.0
FrancoisBunel,Blois,Loir-et-Cher,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
JacobBunel,Blois,Loir-et-Cher,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
PietroBuonaccorsi,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
MichelAnge,Caprese Michelangelo,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiovanniBuonconsiglio,Montecchio Maggiore,Vicence,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
Duccio,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AgostinoBusti,Busto Arsizio,province de Varèse,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
BernardinoButinone,Treviglio,Bergame,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
NicolasBeatrizet,Lunéville,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142,47.0,2.0
JanStevenVanCalcar,Kalkar,arrondissement de Clèves,Düsseldorf,Allemagne,Allemagne,Q183,Q183,51.0,10.0
BenedettoCaliari,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
CarloCaliari,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
GabrieleCaliari,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
JacquesCallot,Nancy,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142,47.0,2.0
DenysCalvaert,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
LazzaroCalvi,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256,44.45,8.766666666
AndreaCamassei,Bevagna,province de Pérouse,Ombrie,Ombrie,Italie,Q38,Q1280,42.983333333,12.566666666
LucaCambiaso,Moneglia,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256,44.45,8.766666666
GirolamoCampagnola,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
GiulioCampagnola,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
AntonioCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
BernardinoCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
GaleazzoCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
GiulioCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
VincenzoCampi,Crémone,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
PeterCandid,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
LorenzoCanozi,Lendinara,province de Rovigo,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
FrancescoCapriani,Volterra,Pise,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiovanniJacopoCaraglio,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
Caravage,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
PolidoroDaCaravaggio,Caravaggio,Bergame,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
GiovanFrancescoCaroto,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
VittoreCarpaccio,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
UgoDaCarpi,Q100041,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
AgostinoCarracci,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
AnnibaleCarracci,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
AntonioCarracci,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
LodovicoCarracci,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
JacopoDiCasentino,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AlessandroCasolani,Mensano,Casole d'Elsa,Sienne,Toscane,Italie,Q38,Q1273,43.45,11.2
AndreaDelCastagno,San Godenzo,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
BernardoCastello,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256,44.45,8.766666666
GiovanniBattistaCastello,Gandino,Bergame,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
BaldassareCastiglione,Casatico,Marcaria,Mantoue,Lombardie,Italie,Q38,Q1210,45.65,9.95
GiovanniBenedettoCastiglione,Gênes,ville métropolitaine de Gênes,Ligurie,Ligurie,Italie,Q38,Q1256,44.45,8.766666666
PietroCataneo,Sienne,Sienne,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
DaneseCattaneo,Colonnata,Carrare,Massa-Carrara,Toscane,Italie,Q38,Q1273,43.45,11.2
GiovanniBattistaDeCavalieri,villa Lagarina,province autonome de Trente,Trentin-Haut-Adige,Trentin-Haut-Adige,Italie,Q38,Q1237,46.383333333,11.416666666
PietroCavallini,Rome,ville métropolitaine de Rome Capitale,Latium,Latium,Italie,Q38,Q1282,41.9,12.716666666
GiacomoCavedone,Sassuolo,Modène,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
BenvenutoCellini,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiuseppeCesari,Arpino,province de Frosinone,Latium,Latium,Italie,Q38,Q1282,41.9,12.716666666
CesareCesariano,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
AlonsoChacon,Baeza,province de Jaén,Andalousie,Espagne,Espagne,Q29,Q29,40.2,-3.5
JeanChalette,Troyes,Aube,Grand Est,France,France,Q142,Q142,47.0,2.0
JeanBaptisteDeChampaigne,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
PhilippeDeChampaigne,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
NicolasChaperon,Châteaudun,Eure-et-Loir,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
CimaDaConegliano,Conegliano,Trévise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
Cimabue,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
BartolomeoCincani,Orzinuovi,Brescia,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
ValerioDiSimoneCioli,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
Orcagna,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
NiccoloCircignani,Pomarance,Pise,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
VincenzoCiverchio,Crema,Crémone,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
MatteoDiGiovanniCivitali,Lucques,Lucques,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
GiovanniBattistaClarici,Urbino,Pesaro et Urbino,Marches,Marches,Italie,Q38,Q1279,43.316666666,13.0
JoosVanCleve,Clèves,arrondissement de Clèves,Düsseldorf,Allemagne,Allemagne,Q183,Q183,51.0,10.0
GiulioClovio,Grižane-Belgrad,Primorje-Gorski Kotar,Adriatic Croatia,Croatie,Croatie,Q224,Q224,45.25,15.466667
HieronymusCock,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
BenedettoCoda,Trévise,Trévise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
PieterCoeckeVanAelst,Alost,arrondissement administratif d'Alost,Flandre-Orientale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
AdriaenCollaert,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
RaffaellinoDelColle,Sansepolcro,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AntonioDaSangalloIlGiovane,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
AlviseCornaro,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
MichelCorneille,Orléans,Loiret,Centre-Val de Loire,France,France,Q142,Q142,47.0,2.0
PierreCorneille,Rouen,Seine-Maritime,Normandie,France,France,Q142,Q142,47.0,2.0
CornelisVanHaarlem,Haarlem,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
LucasCornelisz,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
CornelisCort,Hoorn,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
PierreDeCortone,Cortone,Arezzo,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
PieroDiCosimo,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
SilvioCosini,Fiesole,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
LorenzoCosta,Ferrare,Ferrare,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
JeanICotelle,Meaux,Seine-et-Marne,Île-de-France,France,France,Q142,Q142,47.0,2.0
JeanCousin,Sens,arrondissement de Sens,Yonne,France,France,Q142,Q142,47.0,2.0
MichelICoxie,Malines,Malines,arrondissement administratif de Malines,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
SimoneDeiCrocifissi,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
BattistaDelMoro,Vérone,Vérone,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
MarcoDOggiono,Oggiono,Lecco,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
MichelinoDaBesozzo,Besozzo,province de Varèse,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
LippoDalmasio,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
PellegrinoDaSanDaniele,Udine,Organisme de décentralisation régionale d'Udine,Frioul-Vénétie Julienne,Frioul-Vénétie Julienne,Italie,Q38,Q1250,46.1,13.116666666
JeanDaret,Bruxelles,arrondissement administratif de Bruxelles-Capitale,Région de Bruxelles-Capitale,Belgique,Belgique,Q31,Q31,50.641111111,4.668055555
CarloDati,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
CornelisVanHeem,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
JuanDeHerreraDeMaliano,Roiz,Valdáliga,Cantabrie,Espagne,Espagne,Q29,Q29,40.2,-3.5
EtienneDelaune,Paris,Métropole du Grand Paris,Île-de-France,France,France,Q142,Q142,47.0,2.0
WillemJacobszDelff,Delft,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
StefanoDellaBella,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
MarcoDente,Ravenne,Ravenne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
ClaudeDeruet,Nancy,Meurthe-et-Moselle,Grand Est,France,France,Q142,Q142,47.0,2.0
GirardDesargues,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,France,Q142,Q142,47.0,2.0
Bramante,Fermignano,Pesaro et Urbino,Marches,Marches,Italie,Q38,Q1279,43.316666666,13.0
ArnolfoDiLapo,Colle di Val d'Elsa,Sienne,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
BenedettoDiada,Venise,ville métropolitaine de Venise,Vénétie,Vénétie,Italie,Q38,Q1243,45.733333333,11.85
AbrahamJanszVanDiepenbeeck,Bois-le-Duc,Bois-le-Duc,Brabant-Septentrional,Pays-Bas,Pays-Bas,Q55,Q55,52.316666666,5.55
Dominiquin,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
Donatello,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273,43.45,11.2
Mastelletta,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263,44.75,11.0
CharlesDorigny,La Rochelle,Charente-Maritime,Nouvelle-Aquitaine,France,France,Q142,Q142,47.0,2.0
MichelDorigny,Saint-Quentin,Aisne,Hauts-de-France,France,France,Q142,Q142,47.0,2.0
BattistaDossi,San Giovanni del Dosso,Mantoue,Lombardie,Lombardie,Italie,Q38,Q1210,45.65,9.95
