xml_id,region,latitude,longitude,count
BenvenutoCellini,Toscane,43.45,11.2,3
Caradosso,Lombardie,45.65,9.95,1
CarelVanMander,Belgique,50.641111111,4.668055555,1
CarloDati,Toscane,43.45,11.2,2
CesareDaSesto,Lombardie,45.65,9.95,1
Cimabue,Toscane,43.45,11.2,3
DanieleBarbaro,Vénétie,45.733333333,11.85,1
Dante,Toscane,43.45,11.2,2
DomenicoFontana,Suisse,46.798562,8.231973,2
Donatello,Toscane,43.45,11.2,3
GiorgioVasari,Toscane,43.45,11.2,6
Giotto,Toscane,43.45,11.2,2
GiovanniFrancescoRustici,Toscane,43.45,11.2,2
GuidoReni,Émilie-Romagne,44.75,11.0,1
HennequinDeBruges,Belgique,50.641111111,4.668055555,2
LeonardoDaVinci,Toscane,43.45,11.2,2
Maggiore,Lombardie,45.65,9.95,3
MichelAnge,Toscane,43.45,11.2,8
PaoloVeronese,Vénétie,45.733333333,11.85,1
Perugin,Ombrie,42.983333333,12.566666666,3
PeterPaulRubens,Allemagne,51.0,10.0,1
PierreDeCortone,Toscane,43.45,11.2,1
PietroBuonaccorsi,Toscane,43.45,11.2,1
PolidoroDaCaravaggio,Lombardie,45.65,9.95,1
Raphael,Marches,43.316666666,13.0,4
RinaldoMantovano,Lombardie,45.65,9.95,1
RossoFiorentino,Toscane,43.45,11.2,8
Titien,Vénétie,45.733333333,11.85,4
AlbrechtDurer,Allemagne,51.0,10.0,1
BaccioBandinelli,Toscane,43.45,11.2,1
BartolomeoAmmannati,Toscane,43.45,11.2,2
BenedettoVarchi,Toscane,43.45,11.2,1
BenvenutoCellini,Toscane,43.45,11.2,1
CosimoBartoli,Toscane,43.45,11.2,267
Dante,Toscane,43.45,11.2,77
Donatello,Toscane,43.45,11.2,1
GiorgioVasari,Toscane,43.45,11.2,1
LeonBattistaAlberti,Ligurie,44.45,8.766666666,1
MichelAnge,Toscane,43.45,11.2,17
Petrarque,Toscane,43.45,11.2,5
PietroBembo,Vénétie,45.733333333,11.85,1
AlbrechtDurer,Allemagne,51.0,10.0,1
AlessandroAlgardi,Émilie-Romagne,44.75,11.0,1
AndreaSacchi,Latium,41.9,12.716666666,2
BenedettoVarchi,Toscane,43.45,11.2,1
Bramante,Marches,43.316666666,13.0,16
Bramantino,Lombardie,45.65,9.95,1
Carrache,Émilie-Romagne,44.75,11.0,3
Correge,Émilie-Romagne,44.75,11.0,3
Dante,Toscane,43.45,11.2,3
Gaudenzio,Piémont,45.25,7.916666666,2
GiorgioVasari,Toscane,43.45,11.2,23
Giorgione,Vénétie,45.733333333,11.85,1
Giotto,Toscane,43.45,11.2,2
GiovanniFrancescoPenni,Toscane,43.45,11.2,3
GiulioRomano,Latium,41.9,12.716666666,6
LeonardoDaVinci,Toscane,43.45,11.2,2
MaturinoFiorentino,Toscane,43.45,11.2,1
NicolasPoussin,France,47.0,2.0,1
NicoloDellAbbate,Émilie-Romagne,44.75,11.0,2
Perugin,Ombrie,42.983333333,12.566666666,3
PeterPaulRubens,Allemagne,51.0,10.0,1
PierreDeCortone,Toscane,43.45,11.2,1
PietroBembo,Vénétie,45.733333333,11.85,1
PietroBuonaccorsi,Toscane,43.45,11.2,4
PolidoroDaCaravaggio,Lombardie,45.65,9.95,1
Raphael,Marches,43.316666666,13.0,9
RossoFiorentino,Toscane,43.45,11.2,1
SebastianoDelPiombo,Vénétie,45.733333333,11.85,1
Titien,Vénétie,45.733333333,11.85,7
Agucchi,Émilie-Romagne,44.75,11.0,14
AlessandroAlgardi,Émilie-Romagne,44.75,11.0,6
AndreaDelSarto,Toscane,43.45,11.2,1
AndreaPalladio,Vénétie,45.733333333,11.85,1
AndreaSacchi,Latium,41.9,12.716666666,1
Baroccio,Marches,43.316666666,13.0,6
Bramante,Marches,43.316666666,13.0,3
CamilloProcaccini,Émilie-Romagne,44.75,11.0,1
Caravage,Lombardie,45.65,9.95,32
Carrache,Émilie-Romagne,44.75,11.0,60
CesareRipa,Ombrie,42.983333333,12.566666666,1
Cimabue,Toscane,43.45,11.2,1
Correge,Émilie-Romagne,44.75,11.0,21
DomenicoFontana,Suisse,46.798562,8.231973,4
Dominiquin,Émilie-Romagne,44.75,11.0,34
Donatello,Toscane,43.45,11.2,1
FrancescoPrimaticcio,Émilie-Romagne,44.75,11.0,1
FrancoisPerrier,France,47.0,2.0,2
GiorgioVasari,Toscane,43.45,11.2,3
Giorgione,Vénétie,45.733333333,11.85,3
Giotto,Toscane,43.45,11.2,1
GiovanniFrancescoPenni,Toscane,43.45,11.2,1
GiovanniGiacomoDellaPorta,Lombardie,45.65,9.95,6
GiovanniPaoloLomazzo,Lombardie,45.65,9.95,3
GirolamoGenga,Marches,43.316666666,13.0,2
GiulioRomano,Latium,41.9,12.716666666,6
GuidoReni,Émilie-Romagne,44.75,11.0,30
JacopoBassano,Vénétie,45.733333333,11.85,2
JacopoTintoretto,Vénétie,45.733333333,11.85,3
LeonBattistaAlberti,Ligurie,44.45,8.766666666,2
LeonardoDaVinci,Toscane,43.45,11.2,9
Maggiore,Lombardie,45.65,9.95,8
MartinoBassi,Lombardie,45.65,9.95,1
MichelAnge,Toscane,43.45,11.2,20
NicolasPoussin,France,47.0,2.0,43
NicoloDellAbbate,Émilie-Romagne,44.75,11.0,7
PaoloVeronese,Vénétie,45.733333333,11.85,13
Parmigianino,Émilie-Romagne,44.75,11.0,1
PaulFreartDeChantelou,France,47.0,2.0,2
PeterPaulRubens,Allemagne,51.0,10.0,42
PierreDeCortone,Toscane,43.45,11.2,1
PirroLigorio,Campanie,40.910555555,14.920555555,2
ProsperoFontana,Émilie-Romagne,44.75,11.0,1
Raphael,Marches,43.316666666,13.0,65
RossoFiorentino,Toscane,43.45,11.2,1
SistoBadalocchio,Émilie-Romagne,44.75,11.0,5
Titien,Vénétie,45.733333333,11.85,35
AlbertiDurante,Toscane,43.45,11.2,2
AlbrechtDurer,Allemagne,51.0,10.0,2
AlviseCornaro,Vénétie,45.733333333,11.85,1
AndreaDelSarto,Toscane,43.45,11.2,14
AndreaMantegna,Vénétie,45.733333333,11.85,2
AndreaVerrocchio,Toscane,43.45,11.2,3
BaccioBandinelli,Toscane,43.45,11.2,5
BaldassarrePeruzzi,Toscane,43.45,11.2,1
BenedettoVarchi,Toscane,43.45,11.2,2
Bramante,Marches,43.316666666,13.0,2
Brunelleschi,Toscane,43.45,11.2,1
Caravage,Lombardie,45.65,9.95,1
CarloRidolfi,Vénétie,45.733333333,11.85,1
CesareRipa,Ombrie,42.983333333,12.566666666,4
Cimabue,Toscane,43.45,11.2,15
Correge,Émilie-Romagne,44.75,11.0,1
CosimoRosselli,Toscane,43.45,11.2,4
DanieleDaVolterra,Toscane,43.45,11.2,2
Dante,Toscane,43.45,11.2,2
DomenicoGhirlandaio,Toscane,43.45,11.2,11
Donatello,Toscane,43.45,11.2,24
Duccio,Toscane,43.45,11.2,2
FrancescoPrimaticcio,Émilie-Romagne,44.75,11.0,1
FrancescoSquarcione,Vénétie,45.733333333,11.85,1
GaddoGaddi,Toscane,43.45,11.2,1
Giambologna,France,47.0,2.0,21
GiorgioVasari,Toscane,43.45,11.2,34
Giorgione,Vénétie,45.733333333,11.85,10
Giotto,Toscane,43.45,11.2,20
GiovanniBaglione,Latium,41.9,12.716666666,2
GiovanniFrancescoPenni,Toscane,43.45,11.2,3
GiovanniFrancescoRustici,Toscane,43.45,11.2,2
GirolamoGenga,Marches,43.316666666,13.0,2
GirolamoMuziano,Lombardie,45.65,9.95,6
GiulioRomano,Latium,41.9,12.716666666,7
GuidoReni,Émilie-Romagne,44.75,11.0,2
HennequinDeBruges,Belgique,50.641111111,4.668055555,2
JacopoSansovino,Toscane,43.45,11.2,1
JacopoTintoretto,Vénétie,45.733333333,11.85,4
LaviniaFontana,Émilie-Romagne,44.75,11.0,1
LeonardoDaVinci,Toscane,43.45,11.2,27
LucaSignorelli,Toscane,43.45,11.2,2
Maggiore,Lombardie,45.65,9.95,14
MarcantonioRaimondi,Émilie-Romagne,44.75,11.0,4
MariottoAlbertinelli,Toscane,43.45,11.2,2
Masaccio,Toscane,43.45,11.2,8
MaturinoFiorentino,Toscane,43.45,11.2,7
MichelAnge,Toscane,43.45,11.2,54
NiccoloTribolo,Toscane,43.45,11.2,3
Parmigianino,Émilie-Romagne,44.75,11.0,4
Perugin,Ombrie,42.983333333,12.566666666,11
PierreDeCortone,Toscane,43.45,11.2,4
