xml_id,birth_place,region1,region2,region,country,country_qid,region_qid
PieterClaeszSoutman,Haarlem,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
BartolomeoSpani,Reggio d'Émilie,province de Reggio d'Émilie,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
BartholomaeusSpranger,Anvers,arrondissement administratif d'Anvers,province d'Anvers,Belgique,Belgique,Q31,Q31
FrancescoSquarcione,Padoue,Province de Padoue,Vénétie,Vénétie,Italie,Q38,Q1243
MassimoStanzione,Frattamaggiore,ville métropolitaine de Naples,Campanie,Campanie,Italie,Q38,Q1438
GherardoStarnina,Florence,ville métropolitaine de Florence,Toscane,Toscane,Italie,Q38,Q1273
HendrickIVanSteenwijck,Kampen,Kampen,Overijssel,Pays-Bas,Pays-Bas,Q55,Q55
FrancoisStella,Malines,arrondissement administratif de Malines,province d'Anvers,Belgique,Belgique,Q31,Q31
JacquesStella,Lyon,Métropole de Lyon,Auvergne-Rhône-Alpes,France,France,Q142,Q142
TobiasStimmer,Schaffhouse,canton de Schaffhouse,Suisse,Suisse,Suisse,Q39,Q39
JanVanDerStraet,Bruges,arrondissement administratif de Bruges,Flandre-Occidentale,Belgique,Belgique,Q31,Q31
Bramantino,Milan,ville métropolitaine de Milan,Lombardie,Lombardie,Italie,Q38,Q1210
LambertSustris,Amsterdam,Amsterdam,Hollande-Septentrionale,Pays-Bas,Pays-Bas,Q55,Q55
IsaacClaeszSwanenburgh,Leyde,Hollande-Méridionale,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
HermanVanSwanevelt,Woerden,Utrecht,Pays-Bas,Pays-Bas,Pays-Bas,Q55,Q55
InnocenzoTacconni,Bologne,ville métropolitaine de Bologne,Émilie-Romagne,Émilie-Romagne,Italie,Q38,Q1263
Paciotto,Urbino,Pesaro et Urbino,Marches,Marches,Italie,Q38,Q1279
VincenzoTamagni,San Gimignano,Sienne,Toscane,Toscane,Italie,Q38,Q1273
