xml_id,wikidata_id,ulan_id
NicolasDuchesne,Q97696303,500317044
GaspardDughet,Q741375,500115515
KarelDujardin,Q719666,500000918
GuillaumeDumee,Q16640510,500012724
EtienneDuperac,Q289626,500000071
AntoineDurand,Q105112330,500024231
VanDyck,Q150679,500115190
AlbrechtDurer,Q5580,500115493
AlbrechtDurerElder,Q535910,500102378
JustusVanEgmont,Q1034140,500008490
FerdinandElle,Q3068556,500028971
AdamElsheimer,Q310285,500115443
MarioEquicola,Q3848545,500317328
CharlesErrard,Q706960,500031765
JeanErrard,Q1387082,500098043
VanEyck,Q102272,500116209
GentileDaFabriano,Q312393,500017803
PietroFacchetti,Q3388115,500005711
Filarete,Q449961,500031755
GiacomoFantoni,Q6119969,500065214
PaoloFarinati,Q367287,500013893
JeanBaptisteDeFaudran,Q50278363,500138104
AndreaFeltrini,Q2846439,500006046
Gaudenzio,Q734108,500000975
FrancescoFerrucci,Q3750862,500022127
MinoDaFiesole,Q477441,500002074
AmbrogioFigino,Q1525712,500004659
MasoFiniguerra,Q630165,500115289
JacobelloDelFiore,Q2634352,500032918
StefanoFiorentino,Q1093544,500007537
MaturinoFiorentino,Q2606874,500003257
Baroccio,Q316731,500115210
FlaminioVacca,Q527235,500128268
FransFlorisI,Q543948,500115614
LouisDeFoix,Q124866947,500092121
AnnibaleFontana,Q3618059,500002512
DomenicoFontana,Q336806,500022415
LaviniaFontana,Q236050,500012612
ProsperoFontana,Q460751,500115593
Caradosso,Q744092,500015997
VincenzoFoppa,Q222923,500010957
JacquesFouquieres,Q327364,500115143
PieroDellaFrancesca,Q5822,500006339
FrancescoFrancia,Q260057,500115527
BattistaFranco,Q976786,500029646
ClaudeFrancois,Q2977396,500029570
FrancoisDerand,Q3084427,500185870
SimonFrancois,Q7518780,500014329
MartinFreminet,Q347902,500032294
RolandFreartDeChambray,Q2739285,500261198
PaulFreartDeChantelou,Q3371258,500340761
AmbroiseFredeau,Q18042167,500029392
AndreFelibien,Q518705,500100452
AgnoloGaddi,Q363296,500021601
GaddoGaddi,Q729041,500001790
TaddeoGaddi,Q315835,500115669
FedeGalizia,Q2428749,500013207
CornelisGalleI,Q869133,500020542
PhilipGalle,Q1379395,500016136
Garofalo,Q728512,500011286
LucasGassel,Q1873074,500032920
BernardinoGatti,Q822909,500032192
PomponioGaurico,Q205847,500318203
GeorgGeldorp,Q1504435,500050515
ClaudeLorrain,Q214074,500115366
BartolomeoGenga,Q601390,500076127
GirolamoGenga,Q920115,500005411
ArtemisiaGentileschi,Q212657,500011658
AntonioDaFaenza,Q21282288,500005061
BalthazarGerbier,Q2462938,500018359
ConradGessner,Q55191839,500001070
ConsiglioGherardi,Q1660326,500028901
LorenzoGhiberti,Q208125,500006531
BenedettoGhirlandaio,Q2554861,500002785
DavideGhirlandaio,Q1145811,500021575
DomenicoGhirlandaio,Q191423,500115228
RidolfoDelGhirlandaio,Q64881,500002132
GiorgioGhisi,Q1010603,500005693
GianelloTorriani,Q1388187,500091063
GiovanniGiocondo,Q336806,500022415
Giorgione,Q8459,500028290
Giotto,Q7814,500010766
