xml:id,name_fr,name_it,continent,country,geo,wikidata
Belgique,Pays-Bas méridionaux,Paesi Bassi meridionali,Europe,,50.5 4.67,Q6581823
Baviere,duché de Bavière,Ducato di Baviera,Europe,,,Q47261
Alpes,Alpes,Alpi,Europe,Allemagne,46.57805555555556 8.615,Q1286
Munich,Munich,Monaco di Baviera,Europe,Allemagne,48.1375 11.575,Q1726
Athenes,Athènes,Atene,Europe,Athènes,37.97222222222222 23.72222222222222,Q844930
Vienne,Vienne,Vienna,Europe,Autriche,48.208333333333336 16.3725,Q1741
Bruxelles,Bruxelles,Bruxelles,Europe,Belgique,50.846666666666664 4.351666666666667,Q239
Constantinople,Constantinople,Costantinopoli,Europe,Empire byzantin,41.0125 28.98,Q16869
PaysBas,Pays-Bas espagnols,Paesi Bassi spagnoli,Europe,Empire espagnol,,Q622783
EmpireOrient,Empire byzantin,Impero bizantino,Europe,Empire romain,,Q12544
Londres,Londres,Londra,Europe,Empire romain,51.507222222222 -0.1275,Q84
Cadix,Cadix,Cadice,Europe,Espagne,36.535 -6.2975,Q15682
Madrid,Madrid,Madrid,Europe,Espagne,40.41694444444445 -3.703333333333333,Q2807
Valence,Valence,Valencia,Europe,Espagne,39.47 -0.3763888888888889,Q8818
Espagne,monarchie catholique espagnole,Regno di Spagna,Europe,Espagne,40.2 -3.5,Q766543
Albigeois,Albigeois,Albigeois,Europe,France,43.92805555555555 2.1458333333333335,Q2831878
France,France,Francia,Europe,France,47 2,Q142
Lyon,Lyon,Lione,Europe,France,45.758888888889 4.8413888888889,Q456
Meuse,Meuse,Mosa,Europe,France,51.866389 4.018889,Q41986
Paris,Paris,Parigi,Europe,France,48.85666666666667 2.352222222222222,Q90
Toulouse,Toulouse,Tolosa,Europe,France,43.60444444444445 1.4433333333333334,Q7880
Grece,Grèce,Grecia,Europe,Grèce,38.5 23,Q41
Platees,Platées,Platea,Europe,Grèce,38.22136 23.27388,Q742538
Sicyone,Sicyone,Sicione,Europe,Grèce,37.984104 22.711145,Q368628
Hongrie,Hongrie,Ungheria,Europe,Hongrie,47 19,Q28
Come,Côme,Como,Europe,Italie,45.81025 9.0861388888889,Q1308
Italie,Italie,Italia,Europe,Italie,42.5 12.5,Q38
Milan,Milan,Milano,Europe,Italie,45.466944444444 9.19,Q490
Modene,Modène,Modena,Europe,Italie,44.64582 10.92572,Q279
Naples,Naples,Napoli,Europe,Italie,40.83583333333333 14.248611111111112,Q2634
Rome,Rome,Roma,Europe,Italie,41.893055555556 12.482777777778,Q220
Torino,Turin,Torino,Europe,Italie,45.079166666666666 7.676111111111111,Q495
Malte,Malte,Malta,Europe,Malte,35.88333333333333 14.5,Q233
Monaco,Monaco,Monaco,Europe,Monaco,43.73111111111111 7.42,Q235
Autriche,Monarchie de Habsbourg,Monarchia asburgica,Europe,Monarchie de Habsbourg,48.2 16.36666667,Q153136
Amsterdam,Amsterdam,Amsterdam,Europe,Pays-Bas,52.36666666666667 4.883333333333333,Q727
Hollande,Hollande,Olanda,Europe,Pays-Bas,52.25 4.667,Q102911
LaHaye,La Haye,L'Aia,Europe,Pays-Bas,52.08 4.31,Q36600
Zelande,Zélande,Zelanda,Europe,Pays-Bas,51.566666666667 3.75,Q705
Pologne,Pologne,Polonia,Europe,Pologne,52 19,Q36
Lisbonne,Lisbonne,Lisbona,Europe,Portugal,38.708042 -9.139016,Q597
Danemark,Danemark,Danimarca,Europe,Royaume du Danemark,56 10,Q35
Angleterre,Angleterre,Inghilterra,Europe,Royaume-Uni,53 -1,Q21
Ecosse,Écosse,Scozia,Europe,Royaume-Uni,57 -5,Q22
Francfort,Francfort-sur-le-Main,Francoforte sul Meno,Europe,Saint-Empire romain germanique,50.11055555555556 8.682222222222222,Q1794
Allemagne,Saint-Empire romain germanique,Sacro Romano Impero,Europe,Saint-Empire romain germanique,50.091352242113764 14.422158410216143,Q12548
Brabant,duché de Brabant,Ducato di Brabante,Europe,Saint-Empire romain germanique,50.8 4.3,Q159856
Berne,Berne,Berna,Europe,Suisse,46.94798 7.44743,Q70
Rhin,Rhin,Reno,Europe,Suisse,51.980833333333 4.0930555555556,Q584
Suede,Suède,Svezia,Europe,Suède,61 15,Q34
Prague,Prague,Praga,Europe,Tchéquie,50.0875 14.421388888888888,Q1085
Vatican,Vatican,Città del Vaticano,Europe,Vatican,41.904 12.453,Q237
Navarre,Royaume de Navarre (Haute-Navarre),Regno di Navarra (1512-1841),Europe,couronne de Castille,,Q111628725
Berlin,Berlin,Berlino,Europe,marche de Brandebourg,52.516666666667 13.383333333333,Q64
Florence,Florence,Firenze,Europe,royaume d'Italie,43.771388888889 11.254166666667,Q2044
Flandres,comté de Flandre,Contea delle Fiandre,Europe,royaume de France,51.06 3.72,Q157070
Macedoine,royaume de Macédoine,Regno di Macedonia,Europe,royaume de Macédoine,,Q83958
Portugal,royaume de Portugal,Regno del Portogallo,Europe,royaume de Portugal,38.7 -9.18333333,Q45670
